country,iso3,year,population,cases,disease,cases_per_100k
Afghanistan,AFG,2021,40099462.0,193232,Malaria,481.88177686772957
Afghanistan,AFG,2021,40099462.0,2900,Measles,7.232017227562803
Afghanistan,AFG,2021,40099462.0,76000,Tuberculosis,189.5287273430252
Albania,ALB,2021,2854710.0,480,Tuberculosis,16.814317391258655
Algeria,DZA,2021,44177969.0,0,Malaria,0.0
Algeria,DZA,2021,44177969.0,24000,Tuberculosis,54.32572058710983
American Samoa,ASM,2021,45035.0,2,Tuberculosis,4.4409903408460085
Andorra,AND,2021,79034.0,0,Measles,0.0
Andorra,AND,2021,79034.0,2,Tuberculosis,2.530556469367614
Angola,AGO,2021,34503774.0,8794084,Malaria,25487.310460589037
Angola,AGO,2021,34503774.0,300,Measles,0.8694701049224355
Angola,AGO,2021,34503774.0,112000,Tuberculosis,324.6021725043759
Anguilla,AIA,2021,15753.0,3,Tuberculosis,19.043991620643688
Antigua and Barbuda,ATG,2021,93219.0,0,Measles,0.0
Antigua and Barbuda,ATG,2021,93219.0,5,Tuberculosis,5.363713406065287
Argentina,ARG,2021,45276780.0,0,Malaria,0.0
Argentina,ARG,2021,45276780.0,0,Measles,0.0
Argentina,ARG,2021,45276780.0,14000,Tuberculosis,30.92092679735617
Armenia,ARM,2021,2790974.0,0,Malaria,0.0
Armenia,ARM,2021,2790974.0,0,Measles,0.0
Armenia,ARM,2021,2790974.0,770,Tuberculosis,27.588934902295758
Aruba,ABW,2021,106537.0,7,Tuberculosis,6.570487248561532
Australia,AUS,2021,25921089.0,0,Measles,0.0
Australia,AUS,2021,25921089.0,1700,Tuberculosis,6.558366432830041
Austria,AUT,2021,8922082.0,1,Measles,0.011208146260032132
Austria,AUT,2021,8922082.0,450,Tuberculosis,5.043665817014459
Azerbaijan,AZE,2021,10312992.0,0,Malaria,0.0
Azerbaijan,AZE,2021,10312992.0,0,Measles,0.0
Azerbaijan,AZE,2021,10312992.0,6400,Tuberculosis,62.057645346762605
Bahamas,BHS,2021,407906.0,0,Measles,0.0
Bahamas,BHS,2021,407906.0,51,Tuberculosis,12.502880565620512
Bahrain,BHR,2021,1463265.0,0,Measles,0.0
Bahrain,BHR,2021,1463265.0,230,Tuberculosis,15.71827386016887
Bangladesh,BGD,2021,169356251.0,8974,Malaria,5.298889144635116
Bangladesh,BGD,2021,169356251.0,203,Measles,0.11986566707832946
Bangladesh,BGD,2021,169356251.0,375000,Tuberculosis,221.42672489839183
Barbados,BRB,2021,281200.0,0,Measles,0.0
Barbados,BRB,2021,281200.0,1,Tuberculosis,0.35561877667140823
Belarus,BLR,2021,9578167.0,3,Measles,0.03132123296659998
Belarus,BLR,2021,9578167.0,2900,Tuberculosis,30.27719186771331
Belgium,BEL,2021,11611419.0,7,Measles,0.06028548276485415
Belgium,BEL,2021,11611419.0,940,Tuberculosis,8.095479114137557
Belize,BLZ,2021,400031.0,0,Malaria,0.0
Belize,BLZ,2021,400031.0,0,Measles,0.0
Belize,BLZ,2021,400031.0,110,Tuberculosis,27.497868915159078
Benin,BEN,2021,12996895.0,4983668,Malaria,38345.066263903806
Benin,BEN,2021,12996895.0,35,Measles,0.26929508932710466
Benin,BEN,2021,12996895.0,6900,Tuberculosis,53.08960332448635
Bermuda,BMU,2021,64185.0,2,Tuberculosis,3.1159928332164832
Bhutan,BTN,2021,777486.0,9,Malaria,1.1575771139287394
Bhutan,BTN,2021,777486.0,1300,Tuberculosis,167.20558312304016
Bolivia (Plurinational State of),BOL,2021,12079472.0,14930,Malaria,123.59811753361404
Bolivia (Plurinational State of),BOL,2021,12079472.0,0,Measles,0.0
Bolivia (Plurinational State of),BOL,2021,12079472.0,13000,Tuberculosis,107.62059798640206
Bosnia and Herzegovina,BIH,2021,3270943.0,810,Tuberculosis,24.763500923128284
Botswana,BWA,2021,2588423.0,1067,Malaria,41.22201046737724
Botswana,BWA,2021,2588423.0,0,Measles,0.0
Botswana,BWA,2021,2588423.0,6100,Tuberculosis,235.66472713308454
Brazil,BRA,2021,214326223.0,162016,Malaria,75.59317648218902
Brazil,BRA,2021,214326223.0,668,Measles,0.3116744141942911
Brazil,BRA,2021,214326223.0,104000,Tuberculosis,48.52416029372196
British Virgin Islands,VGB,2021,31122.0,1,Tuberculosis,3.21316110789795
Brunei Darussalam,BRN,2021,445373.0,0,Measles,0.0
Brunei Darussalam,BRN,2021,445373.0,270,Tuberculosis,60.623342681303086
Bulgaria,BGR,2021,6885868.0,0,Measles,0.0
Bulgaria,BGR,2021,6885868.0,1200,Tuberculosis,17.426996857912467
Burkina Faso,BFA,2021,22100683.0,8326915,Malaria,37677.18400377038
Burkina Faso,BFA,2021,22100683.0,9900,Tuberculosis,44.794995702169025
Burundi,BDI,2021,12551213.0,3657985,Malaria,29144.473924552156
Burundi,BDI,2021,12551213.0,369,Measles,2.9399548872288284
Burundi,BDI,2021,12551213.0,13000,Tuberculosis,103.57564643353595
Cabo Verde,CPV,2021,587925.0,0,Malaria,0.0
Cabo Verde,CPV,2021,587925.0,0,Measles,0.0
Cabo Verde,CPV,2021,587925.0,210,Tuberculosis,35.71884168899094
Cambodia,KHM,2021,16589023.0,19064,Malaria,114.91936565522876
Cambodia,KHM,2021,16589023.0,5,Measles,0.03014041272955014
Cambodia,KHM,2021,16589023.0,48000,Tuberculosis,289.34796220368133
Cameroon,CMR,2021,27198628.0,6665957,Malaria,24508.431087038654
Cameroon,CMR,2021,27198628.0,771,Measles,2.834701809223612
Cameroon,CMR,2021,27198628.0,45000,Tuberculosis,165.44952193912135
Canada,CAN,2021,38155012.0,0,Measles,0.0
Canada,CAN,2021,38155012.0,2000,Tuberculosis,5.241775313817225
Cayman Islands,CYM,2021,68136.0,3,Tuberculosis,4.4029587883057415
Central African Republic,CAF,2021,5457154.0,1826551,Malaria,33470.761499492226
Central African Republic,CAF,2021,5457154.0,286,Measles,5.24082699517001
Central African Republic,CAF,2021,5457154.0,29000,Tuberculosis,531.4125274822737
Chad,TCD,2021,17179740.0,3506428,Malaria,20410.250678997472
Chad,TCD,2021,17179740.0,2577,Measles,15.000227011584576
Chad,TCD,2021,17179740.0,24000,Tuberculosis,139.69943666202164
Chile,CHL,2021,19493184.0,0,Measles,0.0
Chile,CHL,2021,19493184.0,3000,Tuberculosis,15.38999477971377
China,CHN,2021,1425893465.0,0,Malaria,0.0
China,CHN,2021,1425893465.0,554,Measles,0.03885283252911185
China,CHN,2021,1425893465.0,780000,Tuberculosis,54.702543994056384
"China, Hong Kong SAR",HKG,2021,7494578.0,4300,Tuberculosis,57.374811497058275
"China, Macao SAR",MAC,2021,686607.0,390,Tuberculosis,56.80105213025792
Colombia,COL,2021,51516562.0,102418,Malaria,198.80596845728954
Colombia,COL,2021,51516562.0,0,Measles,0.0
Colombia,COL,2021,51516562.0,21000,Tuberculosis,40.7635897752649
Comoros,COM,2021,821625.0,10537,Malaria,1282.4585425224402
Comoros,COM,2021,821625.0,0,Measles,0.0
Comoros,COM,2021,821625.0,290,Tuberculosis,35.295907500380345
Congo,COG,2021,5835806.0,1280047,Malaria,21934.36519308558
Congo,COG,2021,5835806.0,160,Measles,2.7416949775232418
Congo,COG,2021,5835806.0,22000,Tuberculosis,376.9830594094458
Cook Islands,COK,2021,17003.0,2,Tuberculosis,11.762630124095747
Costa Rica,CRI,2021,5153957.0,189,Malaria,3.6670853094040172
Costa Rica,CRI,2021,5153957.0,0,Measles,0.0
Costa Rica,CRI,2021,5153957.0,540,Tuberculosis,10.477386598297192
Croatia,HRV,2021,4060135.0,0,Measles,0.0
Croatia,HRV,2021,4060135.0,160,Tuberculosis,3.940755664528396
Cuba,CUB,2021,11256372.0,0,Measles,0.0
Cuba,CUB,2021,11256372.0,770,Tuberculosis,6.840569945627241
Curaçao,CUW,2021,190338.0,16,Tuberculosis,8.406098624552113
Cyprus,CYP,2021,1244188.0,1,Measles,0.08037370558147161
Cyprus,CYP,2021,1244188.0,55,Tuberculosis,4.420553806980939
Czechia,CZE,2021,10510751.0,0,Measles,0.0
Czechia,CZE,2021,10510751.0,400,Tuberculosis,3.8056272097017616
Côte d'Ivoire,CIV,2021,27478249.0,35000,Tuberculosis,127.37347274202224
Côte d’Ivoire,CIV,2021,27478249.0,7443146,Malaria,27087.410118454052
Côte d’Ivoire,CIV,2021,27478249.0,1837,Measles,6.685287697916997
Democratic People's Republic of Korea,PRK,2021,25971909.0,2357,Malaria,9.075189659720431
Democratic People's Republic of Korea,PRK,2021,25971909.0,133000,Tuberculosis,512.0917372689086
Democratic Republic of the Congo,COD,2021,95894118.0,30518545,Malaria,31825.252305881786
Democratic Republic of the Congo,COD,2021,95894118.0,54471,Measles,56.803275462630566
Democratic Republic of the Congo,COD,2021,95894118.0,305000,Tuberculosis,318.0591326779814
Denmark,DNK,2021,5854240.0,0,Measles,0.0
Denmark,DNK,2021,5854240.0,220,Tuberculosis,3.757960042635765
Djibouti,DJI,2021,1105557.0,58445,Malaria,5286.475505107381
Djibouti,DJI,2021,1105557.0,0,Measles,0.0
Djibouti,DJI,2021,1105557.0,2300,Tuberculosis,208.03992919406238
Dominica,DMA,2021,72412.0,0,Measles,0.0
Dominica,DMA,2021,72412.0,12,Tuberculosis,16.571838921725682
Dominican Republic,DOM,2021,11117873.0,378,Malaria,3.3999309040497225
Dominican Republic,DOM,2021,11117873.0,0,Measles,0.0
Dominican Republic,DOM,2021,11117873.0,5000,Tuberculosis,44.97263100594871
Ecuador,ECU,2021,17797737.0,2175,Malaria,12.22065479448314
Ecuador,ECU,2021,17797737.0,0,Measles,0.0
Ecuador,ECU,2021,17797737.0,8500,Tuberculosis,47.75888080602607
Egypt,EGY,2021,109262178.0,0,Measles,0.0
Egypt,EGY,2021,109262178.0,11000,Tuberculosis,10.067527667259204
El Salvador,SLV,2021,6314167.0,0,Malaria,0.0
El Salvador,SLV,2021,6314167.0,0,Measles,0.0
El Salvador,SLV,2021,6314167.0,3100,Tuberculosis,49.09594567264375
Equatorial Guinea,GNQ,2021,1634466.0,348428,Malaria,21317.543466795883
Equatorial Guinea,GNQ,2021,1634466.0,43,Measles,2.630828662082907
Equatorial Guinea,GNQ,2021,1634466.0,4500,Tuberculosis,275.31927859007163
Eritrea,ERI,2021,3620312.0,92898,Malaria,2566.021934021156
Eritrea,ERI,2021,3620312.0,25,Measles,0.6905482179436468
Eritrea,ERI,2021,3620312.0,2700,Tuberculosis,74.57920753791386
Estonia,EST,2021,1328701.0,0,Measles,0.0
Estonia,EST,2021,1328701.0,120,Tuberculosis,9.031377262454082
Eswatini,SWZ,2021,1192271.0,306,Malaria,25.665305958125295
Eswatini,SWZ,2021,1192271.0,29,Measles,2.4323329176001094
Eswatini,SWZ,2021,1192271.0,4200,Tuberculosis,352.26890530760204
Ethiopia,ETH,2021,120283026.0,3783896,Malaria,3145.8270762160573
Ethiopia,ETH,2021,120283026.0,1953,Measles,1.623670491961185
Ethiopia,ETH,2021,120283026.0,143000,Tuberculosis,118.88626746054759
Fiji,FJI,2021,924610.0,610,Tuberculosis,65.9737619104271
Finland,FIN,2021,5535992.0,3,Measles,0.054190829755534325
Finland,FIN,2021,5535992.0,200,Tuberculosis,3.612721983702289
France,FRA,2021,64531444.0,16,Measles,0.024794114323553645
France,FRA,2021,64531444.0,4900,Tuberculosis,7.593197511588305
French Polynesia,PYF,2021,304032.0,39,Tuberculosis,12.827597095042627
Gabon,GAB,2021,2341179.0,535939,Malaria,22891.842101778635
Gabon,GAB,2021,2341179.0,134,Measles,5.7236119066504525
Gabon,GAB,2021,2341179.0,12000,Tuberculosis,512.5622602970554
Gambia,GMB,2021,2639916.0,213311,Malaria,8080.219219096366
Gambia,GMB,2021,2639916.0,0,Measles,0.0
Gambia,GMB,2021,2639916.0,3900,Tuberculosis,147.73197329005924
Georgia,GEO,2021,3757980.0,0,Malaria,0.0
Georgia,GEO,2021,3757980.0,5,Measles,0.1330502025024082
Georgia,GEO,2021,3757980.0,2400,Tuberculosis,63.86409720115594
Germany,DEU,2021,83408554.0,4200,Tuberculosis,5.035454756834652
Ghana,GHA,2021,32833031.0,5396652,Malaria,16436.654904020284
Ghana,GHA,2021,32833031.0,52,Measles,0.15837709287333235
Ghana,GHA,2021,32833031.0,45000,Tuberculosis,137.0570996019222
Greece,GRC,2021,10445365.0,0,Measles,0.0
Greece,GRC,2021,10445365.0,430,Tuberculosis,4.116658441327805
Greenland,GRL,2021,56243.0,39,Tuberculosis,69.34196255534022
Grenada,GRD,2021,124610.0,4,Tuberculosis,3.210015247572426
Guam,GUM,2021,170534.0,67,Tuberculosis,39.28835305569564
Guatemala,GTM,2021,17608483.0,1493,Malaria,8.478867827512456
Guatemala,GTM,2021,17608483.0,0,Measles,0.0
Guatemala,GTM,2021,17608483.0,4800,Tuberculosis,27.25958846085719
Guinea,GIN,2021,13531906.0,4477687,Malaria,33089.847062195084
Guinea,GIN,2021,13531906.0,505,Measles,3.73192069173404
Guinea,GIN,2021,13531906.0,24000,Tuberculosis,177.35860713191477
Guinea-Bissau,GNB,2021,2060721.0,216542,Malaria,10508.069748403592
Guinea-Bissau,GNB,2021,2060721.0,7400,Tuberculosis,359.097616804992
Guyana,GUY,2021,804567.0,25792,Malaria,3205.699463189517
Guyana,GUY,2021,804567.0,0,Measles,0.0
Guyana,GUY,2021,804567.0,670,Tuberculosis,83.27460609246961
Haiti,HTI,2021,11447569.0,22546,Malaria,196.9501122902164
Haiti,HTI,2021,11447569.0,0,Measles,0.0
Haiti,HTI,2021,11447569.0,18000,Tuberculosis,157.23862420047436
Honduras,HND,2021,10278345.0,2290,Malaria,22.279851474142966
Honduras,HND,2021,10278345.0,0,Measles,0.0
Honduras,HND,2021,10278345.0,3400,Tuberculosis,33.079255463793054
Hungary,HUN,2021,9709786.0,0,Measles,0.0
Hungary,HUN,2021,9709786.0,360,Tuberculosis,3.7075997349478143
Iceland,ISL,2021,370335.0,0,Measles,0.0
Iceland,ISL,2021,370335.0,11,Tuberculosis,2.9702836620897295
India,IND,2021,1407563842.0,4265027,Malaria,303.0077125269036
India,IND,2021,1407563842.0,5700,Measles,0.4049549888906566
India,IND,2021,1407563842.0,2950000,Tuberculosis,209.5819679346381
Indonesia,IDN,2021,273753191.0,811636,Malaria,296.48458052129155
Indonesia,IDN,2021,273753191.0,394,Measles,0.14392526295702612
Indonesia,IDN,2021,273753191.0,969000,Tuberculosis,353.968476663346
Iran (Islamic Republic of),IRN,2021,87923432.0,0,Malaria,0.0
Iran (Islamic Republic of),IRN,2021,87923432.0,103,Measles,0.11714738341879104
Iran (Islamic Republic of),IRN,2021,87923432.0,10000,Tuberculosis,11.37353237075641
Iraq,IRQ,2021,43533592.0,0,Malaria,0.0
Iraq,IRQ,2021,43533592.0,197,Measles,0.4525241105764946
Iraq,IRQ,2021,43533592.0,11000,Tuberculosis,25.26784373777381
Ireland,IRL,2021,4986526.0,0,Measles,0.0
Ireland,IRL,2021,4986526.0,240,Tuberculosis,4.812969991533183
Israel,ISR,2021,8900059.0,0,Measles,0.0
Israel,ISR,2021,8900059.0,240,Tuberculosis,2.6966113370709115
Italy,ITA,2021,59240329.0,9,Measles,0.01519235316873409
Italy,ITA,2021,59240329.0,2900,Tuberculosis,4.895313798814318
Jamaica,JAM,2021,2827695.0,0,Measles,0.0
Jamaica,JAM,2021,2827695.0,94,Tuberculosis,3.324262340881884
Japan,JPN,2021,124612530.0,6,Measles,0.004814925112265998
Japan,JPN,2021,124612530.0,13000,Tuberculosis,10.432337743242995
Jordan,JOR,2021,11148278.0,470,Tuberculosis,4.215897737749274
Kazakhstan,KAZ,2021,19196465.0,0,Malaria,0.0
Kazakhstan,KAZ,2021,19196465.0,2,Measles,0.010418584880080786
Kazakhstan,KAZ,2021,19196465.0,14000,Tuberculosis,72.9300941605655
Kenya,KEN,2021,53005614.0,3419698,Malaria,6451.576997108269
Kenya,KEN,2021,53005614.0,266,Measles,0.501833635961655
Kenya,KEN,2021,53005614.0,133000,Tuberculosis,250.91681798082746
Kiribati,KIR,2021,128874.0,1,Measles,0.7759517047658954
Kiribati,KIR,2021,128874.0,550,Tuberculosis,426.77343762124246
Kuwait,KWT,2021,4250114.0,3,Measles,0.0705863419192991
Kuwait,KWT,2021,4250114.0,850,Tuberculosis,19.999463543801415
Kyrgyzstan,KGZ,2021,6527743.0,0,Malaria,0.0
Kyrgyzstan,KGZ,2021,6527743.0,3,Measles,0.0459576916554466
Kyrgyzstan,KGZ,2021,6527743.0,8500,Tuberculosis,130.21345969043207
Lao People's Democratic Republic,LAO,2021,7425057.0,6403,Malaria,86.23502822941292
Lao People's Democratic Republic,LAO,2021,7425057.0,2,Measles,0.026935820155993415
Lao People's Democratic Republic,LAO,2021,7425057.0,11000,Tuberculosis,148.14701085796378
Latvia,LVA,2021,1873919.0,0,Measles,0.0
Latvia,LVA,2021,1873919.0,290,Tuberculosis,15.475588859497128
Lebanon,LBN,2021,5592631.0,540,Tuberculosis,9.655562829015539
