country,iso3,year,population,cases,disease
Afghanistan,AFG,2021,40099462,76000,Tuberculosis
Albania,ALB,2021,2854710,480,Tuberculosis
Algeria,DZA,2021,44177969,24000,Tuberculosis
American Samoa,ASM,2021,45035,2,Tuberculosis
Andorra,AND,2021,79034,2,Tuberculosis
Angola,AGO,2021,34503774,112000,Tuberculosis
Anguilla,AIA,2021,15753,3,Tuberculosis
Antigua and Barbuda,ATG,2021,93219,5,Tuberculosis
Argentina,ARG,2021,45276780,14000,Tuberculosis
Armenia,ARM,2021,2790974,770,Tuberculosis
Aruba,ABW,2021,106537,7,Tuberculosis
Australia,AUS,2021,25921089,1700,Tuberculosis
Austria,AUT,2021,8922082,450,Tuberculosis
Azerbaijan,AZE,2021,10312992,6400,Tuberculosis
Bahamas,BHS,2021,407906,51,Tuberculosis
Bahrain,BHR,2021,1463265,230,Tuberculosis
Bangladesh,BGD,2021,169356251,375000,Tuberculosis
Barbados,BRB,2021,281200,1,Tuberculosis
Belarus,BLR,2021,9578167,2900,Tuberculosis
Belgium,BEL,2021,11611419,940,Tuberculosis
Belize,BLZ,2021,400031,110,Tuberculosis
Benin,BEN,2021,12996895,6900,Tuberculosis
Bermuda,BMU,2021,64185,2,Tuberculosis
Bhutan,BTN,2021,777486,1300,Tuberculosis
Bolivia (Plurinational State of),BOL,2021,12079472,13000,Tuberculosis
Bosnia and Herzegovina,BIH,2021,3270943,810,Tuberculosis
Botswana,BWA,2021,2588423,6100,Tuberculosis
Brazil,BRA,2021,214326223,104000,Tuberculosis
British Virgin Islands,VGB,2021,31122,1,Tuberculosis
Brunei Darussalam,BRN,2021,445373,270,Tuberculosis
Bulgaria,BGR,2021,6885868,1200,Tuberculosis
Burkina Faso,BFA,2021,22100683,9900,Tuberculosis
Burundi,BDI,2021,12551213,13000,Tuberculosis
Cabo Verde,CPV,2021,587925,210,Tuberculosis
Cambodia,KHM,2021,16589023,48000,Tuberculosis
Cameroon,CMR,2021,27198628,45000,Tuberculosis
Canada,CAN,2021,38155012,2000,Tuberculosis
Cayman Islands,CYM,2021,68136,3,Tuberculosis
Central African Republic,CAF,2021,5457154,29000,Tuberculosis
Chad,TCD,2021,17179740,24000,Tuberculosis
Chile,CHL,2021,19493184,3000,Tuberculosis
China,CHN,2021,1425893465,780000,Tuberculosis
"China, Hong Kong SAR",HKG,2021,7494578,4300,Tuberculosis
"China, Macao SAR",MAC,2021,686607,390,Tuberculosis
Colombia,COL,2021,51516562,21000,Tuberculosis
Comoros,COM,2021,821625,290,Tuberculosis
Congo,COG,2021,5835806,22000,Tuberculosis
Cook Islands,COK,2021,17003,2,Tuberculosis
Costa Rica,CRI,2021,5153957,540,Tuberculosis
Côte d'Ivoire,CIV,2021,27478249,35000,Tuberculosis
Croatia,HRV,2021,4060135,160,Tuberculosis
Cuba,CUB,2021,11256372,770,Tuberculosis
Curaçao,CUW,2021,190338,16,Tuberculosis
Cyprus,CYP,2021,1244188,55,Tuberculosis
Czechia,CZE,2021,10510751,400,Tuberculosis
Democratic People's Republic of Korea,PRK,2021,25971909,133000,Tuberculosis
Democratic Republic of the Congo,COD,2021,95894118,305000,Tuberculosis
Denmark,DNK,2021,5854240,220,Tuberculosis
Djibouti,DJI,2021,1105557,2300,Tuberculosis
Dominica,DMA,2021,72412,12,Tuberculosis
Dominican Republic,DOM,2021,11117873,5000,Tuberculosis
Ecuador,ECU,2021,17797737,8500,Tuberculosis
Egypt,EGY,2021,109262178,11000,Tuberculosis
El Salvador,SLV,2021,6314167,3100,Tuberculosis
Equatorial Guinea,GNQ,2021,1634466,4500,Tuberculosis
Eritrea,ERI,2021,3620312,2700,Tuberculosis
Estonia,EST,2021,1328701,120,Tuberculosis
Eswatini,SWZ,2021,1192271,4200,Tuberculosis
Ethiopia,ETH,2021,120283026,143000,Tuberculosis
Fiji,FJI,2021,924610,610,Tuberculosis
Finland,FIN,2021,5535992,200,Tuberculosis
France,FRA,2021,64531444,4900,Tuberculosis
French Polynesia,PYF,2021,304032,39,Tuberculosis
Gabon,GAB,2021,2341179,12000,Tuberculosis
Gambia,GMB,2021,2639916,3900,Tuberculosis
Georgia,GEO,2021,3757980,2400,Tuberculosis
Germany,DEU,2021,83408554,4200,Tuberculosis
Ghana,GHA,2021,32833031,45000,Tuberculosis
Greece,GRC,2021,10445365,430,Tuberculosis
Greenland,GRL,2021,56243,39,Tuberculosis
Grenada,GRD,2021,124610,4,Tuberculosis
Guam,GUM,2021,170534,67,Tuberculosis
Guatemala,GTM,2021,17608483,4800,Tuberculosis
Guinea,GIN,2021,13531906,24000,Tuberculosis
Guinea-Bissau,GNB,2021,2060721,7400,Tuberculosis
Guyana,GUY,2021,804567,670,Tuberculosis
Haiti,HTI,2021,11447569,18000,Tuberculosis
Honduras,HND,2021,10278345,3400,Tuberculosis
Hungary,HUN,2021,9709786,360,Tuberculosis
Iceland,ISL,2021,370335,11,Tuberculosis
India,IND,2021,1407563842,2950000,Tuberculosis
Indonesia,IDN,2021,273753191,969000,Tuberculosis
Iran (Islamic Republic of),IRN,2021,87923432,10000,Tuberculosis
Iraq,IRQ,2021,43533592,11000,Tuberculosis
Ireland,IRL,2021,4986526,240,Tuberculosis
Israel,ISR,2021,8900059,240,Tuberculosis
Italy,ITA,2021,59240329,2900,Tuberculosis
Jamaica,JAM,2021,2827695,94,Tuberculosis
Japan,JPN,2021,124612530,13000,Tuberculosis
Jordan,JOR,2021,11148278,470,Tuberculosis
Kazakhstan,KAZ,2021,19196465,14000,Tuberculosis
Kenya,KEN,2021,53005614,133000,Tuberculosis
Kiribati,KIR,2021,128874,550,Tuberculosis
Kuwait,KWT,2021,4250114,850,Tuberculosis
Kyrgyzstan,KGZ,2021,6527743,8500,Tuberculosis
Lao People's Democratic Republic,LAO,2021,7425057,11000,Tuberculosis
Latvia,LVA,2021,1873919,290,Tuberculosis
Lebanon,LBN,2021,5592631,540,Tuberculosis
Lesotho,LSO,2021,2281454,14000,Tuberculosis
Liberia,LBR,2021,5193416,16000,Tuberculosis
Libya,LBY,2021,6735277,4000,Tuberculosis
Lithuania,LTU,2021,2786651,720,Tuberculosis
Luxembourg,LUX,2021,639321,39,Tuberculosis
Madagascar,MDG,2021,28915653,67000,Tuberculosis
Malawi,MWI,2021,19889742,26000,Tuberculosis
Malaysia,MYS,2021,33573874,33000,Tuberculosis
Maldives,MDV,2021,521457,200,Tuberculosis
Mali,MLI,2021,21904983,11000,Tuberculosis
Malta,MLT,2021,526748,62,Tuberculosis
Marshall Islands,MHL,2021,42050,200,Tuberculosis
Mauritania,MRT,2021,4614974,3800,Tuberculosis
Mauritius,MUS,2021,1298915,160,Tuberculosis
Mexico,MEX,2021,126705138,32000,Tuberculosis
Micronesia (Federated States of),FSM,2021,113131,90,Tuberculosis
Monaco,MCO,2021,36686,0,Tuberculosis
Mongolia,MNG,2021,3347782,14000,Tuberculosis
Montenegro,MNE,2021,627859,98,Tuberculosis
Montserrat,MSR,2021,4417,0,Tuberculosis
Morocco,MAR,2021,37076584,35000,Tuberculosis
Mozambique,MOZ,2021,32077072,116000,Tuberculosis
Myanmar,MMR,2021,53798084,194000,Tuberculosis
Namibia,NAM,2021,2530151,12000,Tuberculosis
Nauru,NRU,2021,12511,24,Tuberculosis
Nepal,NPL,2021,30034989,69000,Tuberculosis
Netherlands (Kingdom of the),NLD,2021,17501696,770,Tuberculosis
New Caledonia,NCL,2021,287800,29,Tuberculosis
New Zealand,NZL,2021,5129727,350,Tuberculosis
Nicaragua,NIC,2021,6850540,3100,Tuberculosis
Niger,NER,2021,25252722,20000,Tuberculosis
Nigeria,NGA,2021,213401323,467000,Tuberculosis
Niue,NIU,2021,1937,1,Tuberculosis
North Macedonia,MKD,2021,2103330,240,Tuberculosis
Northern Mariana Islands,MNP,2021,49481,40,Tuberculosis
Norway,NOR,2021,5403021,160,Tuberculosis
"occupied Palestinian territory, including east Jerusalem",PSE,2021,5133392,31,Tuberculosis
Oman,OMN,2021,4520471,270,Tuberculosis
Pakistan,PAK,2021,231402117,611000,Tuberculosis
Palau,PLW,2021,18024,9,Tuberculosis
Panama,PAN,2021,4351267,1800,Tuberculosis
Papua New Guinea,PNG,2021,9949437,42000,Tuberculosis
Paraguay,PRY,2021,6703799,3200,Tuberculosis
Peru,PER,2021,33715471,44000,Tuberculosis
Philippines,PHL,2021,113880328,741000,Tuberculosis
Poland,POL,2021,38307726,4000,Tuberculosis
Portugal,PRT,2021,10290103,1700,Tuberculosis
Puerto Rico,PRI,2021,3256028,20,Tuberculosis
Qatar,QAT,2021,2688235,1100,Tuberculosis
Republic of Korea,KOR,2021,51830139,23000,Tuberculosis
Republic of Moldova,MDA,2021,3061506,2600,Tuberculosis
Romania,ROU,2021,19328560,8700,Tuberculosis
Russian Federation,RUS,2021,145102755,69000,Tuberculosis
Rwanda,RWA,2021,13461888,7600,Tuberculosis
Saint Kitts and Nevis,KNA,2021,47606,0,Tuberculosis
Saint Lucia,LCA,2021,179651,3,Tuberculosis
Saint Vincent and the Grenadines,VCT,2021,104332,9,Tuberculosis
Samoa,WSM,2021,218764,15,Tuberculosis
San Marino,SMR,2021,33745,0,Tuberculosis
Sao Tome and Principe,STP,2021,223107,250,Tuberculosis
Saudi Arabia,SAU,2021,35950396,3000,Tuberculosis
Senegal,SEN,2021,16876720,19000,Tuberculosis
Serbia,SRB,2021,7296769,1100,Tuberculosis
Seychelles,SYC,2021,106471,13,Tuberculosis
Sierra Leone,SLE,2021,8420641,24000,Tuberculosis
Singapore,SGP,2021,5941060,2800,Tuberculosis
Sint Maarten (Dutch part),SXM,2021,44042,1,Tuberculosis
Slovakia,SVK,2021,5447622,150,Tuberculosis
Slovenia,SVN,2021,2119410,91,Tuberculosis
Solomon Islands,SLB,2021,707851,460,Tuberculosis
Somalia,SOM,2021,17065581,43000,Tuberculosis
South Africa,ZAF,2021,59392255,304000,Tuberculosis
South Sudan,SSD,2021,10748272,24000,Tuberculosis
Spain,ESP,2021,47486935,3900,Tuberculosis
Sri Lanka,LKA,2021,21773441,14000,Tuberculosis
Sudan,SDN,2021,45657202,26000,Tuberculosis
Suriname,SUR,2021,612985,180,Tuberculosis
Sweden,SWE,2021,10467097,400,Tuberculosis
Switzerland,CHE,2021,8691406,410,Tuberculosis
Syrian Arab Republic,SYR,2021,21324367,3800,Tuberculosis
Tajikistan,TJK,2021,9750064,8600,Tuberculosis
Thailand,THA,2021,71601103,103000,Tuberculosis
Timor-Leste,TLS,2021,1320942,6400,Tuberculosis
Togo,TGO,2021,8644829,2900,Tuberculosis
Tokelau,TKL,2021,1849,0,Tuberculosis
Tonga,TON,2021,106017,8,Tuberculosis
Trinidad and Tobago,TTO,2021,1525663,200,Tuberculosis
Tunisia,TUN,2021,12262946,4500,Tuberculosis
Türkiye,TUR,2021,84775404,15000,Tuberculosis
Turkmenistan,TKM,2021,6341855,3000,Tuberculosis
Turks and Caicos Islands,TCA,2021,45114,0,Tuberculosis
Tuvalu,TUV,2021,11204,33,Tuberculosis
Uganda,UGA,2021,45853778,91000,Tuberculosis
Ukraine,UKR,2021,43531422,31000,Tuberculosis
United Arab Emirates,ARE,2021,9365145,77,Tuberculosis
United Kingdom of Great Britain and Northern Ireland,GBR,2021,67281039,4300,Tuberculosis
United Republic of Tanzania,TZA,2021,63588334,132000,Tuberculosis
United States of America,USA,2021,336997624,8700,Tuberculosis
Uruguay,URY,2021,3426260,1100,Tuberculosis
Uzbekistan,UZB,2021,34081449,21000,Tuberculosis
Vanuatu,VUT,2021,319137,110,Tuberculosis
Venezuela (Bolivarian Republic of),VEN,2021,28199867,13000,Tuberculosis
Viet Nam,VNM,2021,97468029,169000,Tuberculosis
Wallis and Futuna,WLF,2021,11627,0,Tuberculosis
Yemen,YEM,2021,32981641,16000,Tuberculosis
Zambia,ZMB,2021,19473125,60000,Tuberculosis
Zimbabwe,ZWE,2021,15993524,30000,Tuberculosis
